200509,更新情報無し,,
禁止,効果/モンスター,混沌帝龍　－終焉の使者－,CHAOS EMPEROR DRAGON - ENVOY OF THE END
禁止,効果/モンスター,カオス・ソルジャー　－開闢の使者－,BLACK LUSTER SOLDIER - ENVOY OF THE BEGINNING
禁止,効果/モンスター,キラー・スネーク,SINISTER SERPENT
禁止,効果/モンスター,黒き森のウィッチ,WITCH OF THE BLACK FOREST
禁止,効果/モンスター,処刑人-マキュラ,MAKYURA THE DESTRUCTOR
禁止,効果/モンスター,ファイバーポッド,FIBER JAR
禁止,効果/モンスター,魔導サイエンティスト,MAGICAL SCIENTIST
禁止,効果/モンスター,八汰烏,YATA-GARASU
禁止,魔法,悪夢の蜃気楼,MIRAGE OF NIGHTMARE
禁止,魔法,いたずら好きな双子悪魔,DELINQUENT DUO
禁止,魔法,苦渋の選択,PAINFUL CHOICE
禁止,魔法,強引な番兵,THE FORCEFUL SENTRY
禁止,魔法,心変わり,CHANGE OF HEART
禁止,魔法,サンダー・ボルト,RAIGEKI
禁止,魔法,死者蘇生,MONSTER REBORN
禁止,魔法,蝶の短剣-エルマ,BUTTERFLY DAGGER - ELMA
禁止,魔法,天使の施し,GRACEFUL CHARITY
禁止,魔法,ハーピィの羽根帚,HARPIE'S FEATHER DUSTER
禁止,罠,王宮の勅命,IMPERIAL ORDER
禁止,罠,聖なるバリア -ミラーフォース-,MIRROR FORCE
禁止,罠,第六感,－
禁止,罠,破壊輪,RING OF DESTRUCTION
制限,効果/モンスター,異次元の女戦士,D. D. WARRIOR LADY
制限,効果/モンスター,お注射天使リリー,INJECTION FAIRY LILY
制限,効果/モンスター,クリッター,SANGAN
制限,効果/モンスター,混沌の黒魔術師,DARK MAGICIAN OF CHAOS
制限,効果/モンスター,サイバーポッド,CYBER JAR
制限,融合/モンスター,サウザンド・アイズ・サクリファイス,THOUSAND-EYES RESTRICT
制限,効果/モンスター,神殿を守る者,PROTECTOR OF THE SANCTUARY
制限,効果/モンスター,人造人間-サイコ・ショッカー,JINZO
制限,効果/モンスター,月読命,TSUKUYOMI
制限,効果/モンスター,ドル・ドラ,TWIN-HEADED BEHEMOTH
制限,効果/モンスター,同族感染ウィルス,TRIBE-INFECTING VIRUS
制限,効果/モンスター,深淵の暗殺者,NIGHT ASSAILANT
制限,効果/モンスター,ならず者傭兵部隊,EXILED FORCE
制限,効果/モンスター,ネフティスの鳳凰神,SACRED PHOENIX OF NEPHTHYS
制限,効果/モンスター,封印されしエクゾディア,EXODIA THE FORBIDDEN ONE
制限,効果/モンスター,封印されし者の右足,RIGHT LEG OF THE FORBIDDEN ONE
制限,効果/モンスター,封印されし者の右腕,RIGHT ARM OF THE FORBIDDEN ONE
制限,効果/モンスター,封印されし者の左足,LEFT LEG OF THE FORBIDDEN ONE
制限,効果/モンスター,封印されし者の左腕,LEFT ARM OF THE FORBIDDEN ONE
制限,効果/モンスター,魔鏡導士リフレクト・バウンダー,REFLECT BOUNDER
制限,効果/モンスター,マシュマロン,－
制限,効果/モンスター,魔導戦士　ブレイカー,BREAKER THE MAGICAL WARRIOR
制限,効果/モンスター,メタモルポット,MORPHING JAR
制限,魔法,押収,CONFISCATION
制限,魔法,大嵐,HEAVY STORM
制限,魔法,強奪,SNATCH STEAL
制限,魔法,強欲な壺,POT OF GREED
制限,魔法,サイクロン,MYSTICAL SPACE TYPHOON
制限,魔法,スケープ・ゴート,SCAPEGOAT
制限,魔法,団結の力,UNITED WE STAND
制限,魔法,月の書,BOOK OF MOON
制限,魔法,手札抹殺,CARD DESTRUCTION
制限,魔法,早すぎた埋葬,PREMATURE BURIAL
制限,魔法,光の護封剣,SWORDS OF REVEALING LIGHT
制限,魔法,ブラック・ホール,DARK HOLE
制限,魔法,魔導師の力,MAGE POWER
制限,魔法,突然変異,METAMORPHOSIS
制限,魔法,ライトニング・ボルテックス,LIGHTNING VORTEX
制限,魔法,リミッター解除,LIMITER REMOVAL
制限,罠,激流葬,TORRENTIAL TRIBUTE
制限,罠,現世と冥界の逆転,－
制限,罠,死のデッキ破壊ウイルス,－
制限,罠,魔のデッキ破壊ウイルス,DECK DEVASTATION VIRUS
制限,罠,停戦協定,CEASEFIRE
制限,罠,魔法の筒,MAGIC CYLINDER
制限,罠,無謀な欲張り,RECKLESS GREED
制限,罠,リビングデッドの呼び声,CALL OF THE HAUNTED
準制限,効果/モンスター,アビス・ソルジャー,ABYSS SOLDIER
準制限,効果/モンスター,暗黒のマンティコア,MANTICORE OF DARKNESS
準制限,魔法,強制転移,CREATURE SWAP
準制限,魔法,増援,REINFORCEMENT OF THE ARMY
準制限,魔法,成金ゴブリン,UPSTART GOBLIN
準制限,魔法,非常食,EMERGENCY PROVISIONS
準制限,魔法,抹殺の使徒,NOBLEMAN OF CROSSOUT
準制限,魔法,レベル制限Ｂ地区,LEVEL LIMIT - AREA B
準制限,罠,グラヴィティ・バインド－超重力の網－,GRAVITY BIND
準制限,罠,ゴブリンのやりくり上手,GOOD GOBLIN HOUSEKEEPING
準制限,罠,ラストバトル！,LAST TURN
,,,
,,,
,,,
,,,
